,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Customer_Days,marital_Divorced,marital_Married,marital_Single,marital_Together,marital_Widow,education_2n Cycle,education_Basic,education_Graduation,education_Master,education_PhD,MntTotal,MntRegularProds,AcceptedCmpOverall,ro_Income,ro_Kidhome,ro_Teenhome,ro_Recency,ro_MntWines,ro_MntFruits,ro_MntMeatProducts,ro_MntFishProducts,ro_MntSweetProducts,ro_MntGoldProds,ro_NumDealsPurchases,ro_NumWebPurchases,ro_NumCatalogPurchases,ro_NumStorePurchases,ro_NumWebVisitsMonth,ro_AcceptedCmp3,ro_AcceptedCmp4,ro_AcceptedCmp5,ro_AcceptedCmp1,ro_AcceptedCmp2,ro_Complain,ro_Z_CostContact,ro_Z_Revenue,ro_Response,ro_Age,ro_Customer_Days,ro_marital_Divorced,ro_marital_Married,ro_marital_Single,ro_marital_Together,ro_marital_Widow,ro_education_2n Cycle,ro_education_Basic,ro_education_Graduation,ro_education_Master,ro_education_PhD,ro_MntTotal,ro_MntRegularProds,ro_AcceptedCmpOverall
10,7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,44,2752,0,1,0,0,0,0,1,0,0,0,45,29,0,-1.323469850385371,0.0,0.0,0.2,-0.35610766045548653,0.25806451612903225,-0.2638888888888889,-0.02127659574468085,-0.21212121212121213,-0.19148936170212766,-0.5,-0.5,-0.5,-0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,0.6790830945558739,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,-0.32819383259911894,-0.30760095011876487,0.0
11,63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,61,2385,1,0,0,0,0,0,0,1,0,0,1072,1042,0,0.3550249357714977,0.0,0.0,0.66,0.033126293995859216,1.7096774193548387,1.9074074074074074,4.531914893617022,3.1515151515151514,0.10638297872340426,-0.5,-0.25,0.5,0.6,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6111111111111112,-0.37249283667621774,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.802863436123348,0.8954869358669834,0.0
12,59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,68,2385,1,0,0,0,0,0,0,0,1,0,296,282,0,0.24382650748073145,1.0,1.0,0.08,0.11387163561076605,-0.1935483870967742,-0.06944444444444445,-0.19148936170212766,-0.09090909090909091,-0.23404255319148937,0.5,0.5,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.37249283667621774,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,-0.051762114537444934,-0.007125890736342043,0.0
13,17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,33,2786,0,1,0,0,0,0,0,1,0,0,41,36,0,-1.0265679310865952,0.0,0.0,-0.22,-0.36231884057971014,0.1935483870967742,-0.2361111111111111,-0.1276595744680851,-0.21212121212121213,-0.425531914893617,-0.5,-0.75,-0.5,-0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9444444444444444,0.7765042979942693,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33259911894273125,-0.2992874109263658,0.0
14,82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,74,2741,0,0,1,0,0,0,0,0,0,1,1270,1225,2,0.9524860208553725,0.0,0.0,-0.52,1.7142857142857142,0.45161290322580644,0.2175925925925926,1.0,1.8181818181818181,0.425531914893617,-0.5,0.75,1.0,1.4,-0.75,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.3333333333333333,0.6475644699140402,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0209251101321586,1.1128266033254157,2.0
15,41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,40,2711,0,1,0,0,0,0,0,1,0,0,92,88,0,-0.28523500075562946,1.0,1.0,0.04,-0.2587991718426501,-0.0967741935483871,-0.22685185185185186,-0.2127659574468085,0.15151515151515152,-0.44680851063829785,0.5,-0.25,-0.5,-0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5555555555555556,0.5616045845272206,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.276431718061674,-0.2375296912114014,0.0
16,37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,74,2826,0,0,0,1,0,0,0,1,0,0,289,261,0,-0.40885597702886506,0.0,0.0,-0.58,-0.19461697722567287,-0.0967741935483871,-0.1388888888888889,2.9361702127659575,0.12121212121212122,0.06382978723404255,0.0,0.0,-0.25,0.2,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.8911174785100286,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05947136563876652,-0.032066508313539195,0.0
17,76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,71,2617,0,1,0,0,0,0,0,0,1,0,1606,1430,1,0.7770288650445821,0.0,1.0,0.84,1.7267080745341614,2.3225806451612905,1.9907407407407407,-0.2553191489361702,0.24242424242424243,3.2127659574468086,0.0,1.75,0.5,0.8,-0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,0.2922636103151863,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.3909691629955947,1.3562945368171022,1.0
18,33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,35,2762,0,0,1,0,0,1,0,0,0,0,94,55,0,-0.5281849780867462,1.0,0.0,0.74,-0.36024844720496896,0.2903225806451613,-0.22685185185185186,0.3829787234042553,0.48484848484848486,0.2978723404255319,0.0,-0.5,-0.25,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8333333333333334,0.7077363896848138,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,-0.27422907488986786,-0.27672209026128264,0.0
19,37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,38,2849,0,1,0,0,0,0,0,1,0,0,268,220,0,-0.4306181048813662,0.0,0.0,-0.16,-0.19047619047619047,-0.1935483870967742,0.023148148148148147,1.2127659574468086,0.9090909090909091,0.48936170212765956,-0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,0.9570200573065902,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08259911894273128,-0.08076009501187649,0.0
20,2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,41,2698,0,1,0,0,0,0,0,1,0,0,1729,1728,0,-1.4761976726613268,1.0,0.0,-0.14,-0.36645962732919257,-0.22580645161290322,7.671296296296297,-0.23404255319148937,-0.21212121212121213,-0.5106382978723404,6.5,-1.0,6.5,-1.0,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5243553008595988,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.526431718061674,1.7102137767220902,0.0
21,58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,71,2712,0,1,0,0,0,0,0,0,0,1,953,934,1,0.2212482998337615,0.0,1.0,0.28,1.4265010351966874,-0.25806451612903225,0.08333333333333333,-0.2553191489361702,-0.24242424242424243,-0.1276595744680851,0.5,-0.5,0.25,0.8,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,0.5644699140401146,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.6718061674008811,0.7672209026128266,1.0
22,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,66,2328,0,1,0,0,0,0,0,0,0,1,539,534,0,0.42427081759105334,0.0,1.0,-0.98,0.42650103519668736,-0.25806451612903225,0.1574074074074074,0.19148936170212766,0.7272727272727273,-0.425531914893617,0.5,0.5,0.0,0.8,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,-0.5358166189111748,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.21585903083700442,0.2921615201900237,0.0
23,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,69,2627,0,0,0,1,0,0,0,1,0,0,345,246,0,-0.32032643191778754,0.0,1.0,0.4,0.19047619047619047,-0.16129032258064516,-0.18981481481481483,0.574468085106383,-0.06060606060606061,1.574468085106383,2.5,0.75,-0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0555555555555556,0.3209169054441261,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022026431718061676,-0.0498812351543943,0.0
24,18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,51,2702,0,0,1,0,0,0,0,1,0,0,62,49,0,-0.9883028562792806,0.0,0.0,0.8,-0.35610766045548653,-0.12903225806451613,-0.19907407407407407,0.06382978723404255,0.12121212121212122,-0.2553191489361702,0.0,-0.5,-0.25,-0.4,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.5358166189111748,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30947136563876654,-0.2838479809976247,0.0
25,53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,44,2557,0,1,0,0,0,0,0,1,0,0,216,175,0,0.06262656793108659,1.0,1.0,-0.9,-0.010351966873706004,-0.12903225806451613,-0.17592592592592593,-0.19148936170212766,-0.06060606060606061,0.3404255319148936,1.0,0.25,-0.25,-0.2,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,0.12034383954154727,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13986784140969163,-0.1342042755344418,0.0
26,38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,31,2553,0,1,0,0,0,0,0,1,0,0,121,111,0,-0.3907208704851141,1.0,0.0,-0.46,-0.2939958592132505,-0.1935483870967742,-0.12037037037037036,0.1702127659574468,0.3939393939393939,-0.3191489361702128,0.0,-0.5,-0.25,-0.2,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0555555555555556,0.10888252148997135,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2444933920704846,-0.21021377672209027,0.0
27,84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,55,2378,0,1,0,0,0,0,0,0,0,1,1672,1672,1,1.0074353936829379,0.0,0.0,0.94,1.0476190476190477,2.967741935483871,3.3935185185185186,0.19148936170212766,1.7575757575757576,-0.5319148936170213,-0.5,0.5,1.75,1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2777777777777778,-0.39255014326647564,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.4636563876651982,1.6437054631828978,1.0
28,10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,31,2197,1,0,0,0,0,0,0,0,1,0,26,22,0,-1.2183164576091885,0.0,0.0,-0.3,-0.35196687370600416,-0.12903225806451613,-0.26851851851851855,-0.2127659574468085,-0.18181818181818182,-0.44680851063829785,0.0,-0.25,-0.5,-0.4,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0555555555555556,-0.9111747851002865,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,-0.3491189427312775,-0.3159144893111639,0.0
29,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,57,2573,0,0,0,1,0,0,0,0,1,0,229,140,0,-0.38286232431615536,0.0,0.0,0.14,-0.13664596273291926,0.2903225806451613,-0.1111111111111111,0.46808510638297873,0.42424242424242425,1.3617021276595744,-0.5,-0.5,0.75,-0.4,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3888888888888889,0.166189111747851,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,-0.12555066079295155,-0.17577197149643706,0.0
30,40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,50,2786,0,0,0,1,0,0,0,1,0,0,117,114,1,-0.324588181955569,0.0,1.0,-0.36,-0.14078674948240166,-0.25806451612903225,-0.2916666666666667,-0.2127659574468085,-0.24242424242424243,-0.46808510638297873,0.0,-0.5,-0.25,-0.2,-0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7765042979942693,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2488986784140969,-0.20665083135391923,1.0
31,46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,68,2767,1,0,0,0,0,0,0,0,0,1,259,216,0,-0.14136315550853862,0.0,2.0,-0.82,-0.16977225672877846,0.12903225806451613,0.12962962962962962,0.44680851063829785,0.42424242424242425,0.3829787234042553,2.0,0.0,-0.25,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7220630372492837,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,-0.09251101321585903,-0.0855106888361045,0.0
32,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,74,2653,0,1,0,0,0,0,0,0,1,0,1174,1152,0,0.5250113344415899,0.0,0.0,-0.9,0.629399585921325,0.8387096774193549,1.8657407407407407,2.276595744680851,1.8181818181818181,-0.06382978723404255,-0.5,-0.25,0.75,0.8,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.3954154727793696,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.9151982378854625,1.0261282660332542,0.0
33,49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,69,2463,0,0,1,0,0,0,0,0,1,0,62,59,0,-0.057367387033398824,1.0,1.0,0.12,-0.2857142857142857,-0.25806451612903225,-0.22685185185185186,-0.2127659574468085,-0.21212121212121213,-0.46808510638297873,-0.5,-0.5,-0.5,-0.4,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0555555555555556,-0.1489971346704871,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,-0.30947136563876654,-0.27197149643705465,0.0
34,67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,50,2339,0,1,0,0,0,0,0,0,0,1,878,843,0,0.48559770288650445,0.0,1.0,-0.24,1.0848861283643891,0.2903225806451613,0.38425925925925924,-0.2553191489361702,0.0,0.2127659574468085,1.5,0.25,1.0,1.4,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.504297994269341,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.5892070484581498,0.6591448931116389,0.0
35,23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,44,2459,0,1,0,0,0,1,0,0,0,0,45,9,0,-0.8332779205077829,1.0,0.0,0.54,-0.35610766045548653,-0.16129032258064516,-0.25,0.06382978723404255,-0.030303030303030304,0.23404255319148937,0.5,-0.25,-0.25,-0.6,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.16045845272206305,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,-0.32819383259911894,-0.331353919239905,0.0
36,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,47,2297,0,0,0,0,1,0,0,1,0,0,63,59,0,-0.26773462294090977,0.0,1.0,1.0,-0.2546583850931677,-0.25806451612903225,-0.28703703703703703,-0.2127659574468085,-0.24242424242424243,-0.44680851063829785,0.0,-0.75,-0.25,-0.4,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16666666666666666,-0.6246418338108882,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.30837004405286345,-0.27197149643705465,0.0
37,48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,77,2672,1,0,0,0,0,0,0,0,0,1,860,818,1,-0.07069669034305577,0.0,0.0,0.08,0.5362318840579711,0.0,0.6388888888888888,3.148936170212766,1.2424242424242424,0.3617021276595745,0.0,0.75,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.4498567335243553,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.5693832599118943,0.6294536817102138,1.0
38,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,40,2585,0,1,0,0,0,0,0,1,0,0,1293,1191,0,0.8681880006045035,0.0,1.0,-0.92,0.5031055900621118,2.193548387096774,2.1666666666666665,1.4893617021276595,5.151515151515151,1.6382978723404256,0.0,1.0,1.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5555555555555556,0.20057306590257878,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0462555066079295,1.0724465558194773,0.0
39,20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,35,2633,0,1,0,0,0,0,0,0,1,0,46,39,0,-0.9287592564606317,1.0,0.0,0.78,-0.3416149068322981,-0.22580645161290322,-0.18055555555555555,-0.19148936170212766,-0.24242424242424243,-0.3829787234042553,0.0,-0.5,-0.5,-0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8333333333333334,0.33810888252148996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,-0.32709251101321585,-0.29572446555819476,0.0
40,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,63,2711,0,0,0,1,0,0,0,1,0,0,19,16,0,-0.885386126643494,0.0,1.0,-0.9,-0.3498964803312629,-0.25806451612903225,-0.28703703703703703,-0.19148936170212766,-0.21212121212121213,-0.46808510638297873,-0.5,-1.0,-0.5,-0.4,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7222222222222222,0.5616045845272206,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3568281938325991,-0.32304038004750596,0.0
